Date;Customer;TipoDocumento;Num;Producto;Descripcion;Qty;SalesPrice;Amount;Balance;Class;SalesRep;TipoCliente;ID;Month
2024-09-03;Neighbors Food Market / Luis Diaz;Invoice;008-03704;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3381206.96999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384743;Sep
2024-09-03;Neighbors Food Market / Luis Diaz;Invoice;008-03704;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;1.0;19.9;19.9;3381226.86999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384744;Sep
2024-09-03;Neighbors Food Market / Luis Diaz;Invoice;008-03704;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;1.0;46.5;46.5;3381273.36999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384745;Sep
2024-09-03;Neighbors Food Market / Luis Diaz;Invoice;008-03704;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3381290.36999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384746;Sep
2024-09-03;Sedanos Supermarkets #36;Invoice;008-03705;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3381330.16999998;Puffed Products;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384748;Sep
2024-09-03;Sedanos Supermarkets #36;Invoice;008-03705;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3381369.96999998;Puffed Products;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384749;Sep
2024-09-04;Sedanos Supermarkets #36;Credit Memo;008-03713;Arroz Envasado:Parboiled 5KG Dos Hermanos.;18 units en 1X1;-3.0;20.25;-60.75;3381130.32999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384757;Sep
2024-09-04;Sedanos Supermarkets #36;Invoice;008-03714;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;3.0;40.5;121.5;3381251.82999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384758;Sep
2024-09-04;Sedanos Supermarkets #36;Invoice;008-03714;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;3.0;40.5;121.5;3381373.32999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384759;Sep
2024-09-04;Key Food Weston;Invoice;008-03718;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3382721.05999998;Branded Rice;Lisset Limpio -020;RETAIL  DSD;1384767;Sep
2024-09-04;Key Food Weston;Invoice;008-03718;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3382780.75999998;Branded Rice;Lisset Limpio -020;RETAIL  DSD;1384768;Sep
2024-09-04;Key Food Weston;Invoice;008-03718;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3382797.75999998;Branded Rice;Lisset Limpio -020;RETAIL  DSD;1384769;Sep
2024-09-04;Ideal Food Basket Davie Grocery;Invoice;008-03719;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3382831.75999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384770;Sep
2024-09-04;Ideal Food Basket Davie Grocery;Invoice;008-03719;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3382891.45999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384771;Sep
2024-09-04;Ideal Food Basket Davie Grocery;Invoice;008-03719;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3382908.45999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384772;Sep
2024-09-04;Sedanos Supermarkets #24;Invoice;008-03721;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;1.0;40.5;40.5;3383283.95999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384775;Sep
2024-09-04;Bravo 5851 Lake Worth Road;Invoice;008-03722;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;20.0;46.5;930.0;3384204.06999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384777;Sep
2024-09-04;Bravo 5851 Lake Worth Road;Invoice;008-03722;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3384263.76999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384778;Sep
2024-09-04;Bravo 5851 Lake Worth Road;Invoice;008-03722;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3384297.76999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384779;Sep
2024-09-04;Bravo 5851 Lake Worth Road;Invoice;008-03722;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3384314.76999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384780;Sep
2024-09-04;Bravo 5851 Lake Worth Road;Invoice;008-03722;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;20.0;46.5;930.0;3385244.76999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384781;Sep
2024-09-05;Sedanos Supermarkets #22;Invoice;008-03727;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3384513.55999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384793;Sep
2024-09-05;Sedanos Supermarkets #1;Invoice;008-03732;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3386273.80999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384804;Sep
2024-09-05;Sedanos Supermarkets #1;Invoice;008-03732;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3386293.70999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384805;Sep
2024-09-05;Sedanos Supermarkets #1;Invoice;008-03732;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3386313.60999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384806;Sep
2024-09-05;Sedanos Supermarkets  #11;Invoice;008-03733;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;2.0;40.5;81.0;3386393.41999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384808;Sep
2024-09-05;Sedanos Supermarkets #33;Invoice;008-03737;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3387096.93999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384817;Sep
2024-09-05;Sedanos Supermarkets #33;Invoice;008-03737;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3387116.83999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384818;Sep
2024-09-05;Sedanos Supermarkets #33;Invoice;008-03737;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3387136.73999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384819;Sep
2024-09-05;Sedanos Supermarkets #31;Invoice;008-03738;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;20.0;40.5;810.0;3387945.54999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384821;Sep
2024-09-05;Sedanos Supermarkets #31;Invoice;008-03738;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;20.0;40.5;810.0;3388755.54999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384822;Sep
2024-09-09;Sedanos Supermarkets #23;Invoice;008-03744;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;5.0;40.5;202.5;3389781.79999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384843;Sep
2024-09-09;Sedanos Supermarkets #23;Invoice;008-03744;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;5.0;40.5;202.5;3389984.29999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384844;Sep
2024-09-09;Sedanos Supermarkets #23;Invoice;008-03744;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3390004.19999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384845;Sep
2024-09-09;Sedanos Supermarkets  #4;Invoice;008-03745;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;1.0;19.9;19.9;3390020.04999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384847;Sep
2024-09-09;Sedanos Supermarkets  #4;Invoice;008-03745;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;2.0;19.9;39.8;3390059.84999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384848;Sep
2024-09-09;Sedanos Supermarkets  #4;Invoice;008-03745;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;1.0;19.9;19.9;3390079.74999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384849;Sep
2024-09-09;Sedanos Supermarkets #16;Invoice;008-03746;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;10.0;40.5;405.0;3390483.55999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384851;Sep
2024-09-09;Sedanos Supermarkets #16;Invoice;008-03746;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3390523.35999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384852;Sep
2024-09-09;Sedanos Supermarkets #16;Invoice;008-03746;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3390543.25999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384853;Sep
2024-09-09;Sedanos Supermarkets #16;Invoice;008-03746;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;10.0;40.5;405.0;3390948.25999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384854;Sep
2024-09-09;Sedanos Supermarkets #16;Invoice;008-03746;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3390968.15999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384855;Sep
2024-09-12;Sedanos Supermarkets #34;Invoice;008-03751;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3391287.37999998;Puffed Products;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384871;Sep
2024-09-12;Sedanos Supermarkets #34;Invoice;008-03751;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3391327.17999998;Puffed Products;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384872;Sep
2024-09-12;El Gallego Supermarket;Invoice;008-03752;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3391434.38999998;Branded Rice;Lisset Limpio -020;RETAIL  DSD;1384875;Sep
2024-09-12;Sedanos Supermarkets #18;Invoice;008-03757;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;6.0;40.5;243.0;3393736.58999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384884;Sep
2024-09-12;Sedanos Supermarkets #18;Invoice;008-03757;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;1.0;19.9;19.9;3393756.48999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384885;Sep
2024-09-12;Bay supermarket;Invoice;008-03764;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;5.0;17.0;85.0;3395959.32999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384898;Sep
2024-09-12;Bay supermarket;Invoice;008-03764;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3395976.32999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384899;Sep
2024-09-12;Sedanos Supermarkets #42;Invoice;008-03765;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;10.0;40.5;405.0;3396381.32999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384900;Sep
2024-09-12;Sedanos Supermarkets #42;Invoice;008-03765;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;10.0;-11.15;-111.5;3396269.82999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384901;Sep
2024-09-16;VIÑA & SONS FOOD DIST.CORP;Invoice;008-03769;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;2.0;16.0;32.0;3397101.00999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384915;Sep
2024-09-16;VIÑA & SONS FOOD DIST.CORP;Invoice;008-03769;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;14.0;28.0;3397129.00999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384916;Sep
2024-09-16;VIÑA & SONS FOOD DIST.CORP;Invoice;008-03769;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;2.0;41.5;83.0;3397212.00999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384917;Sep
2024-09-16;Sabor Tropical Supermarket #4;Invoice;008-03772;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;5.0;46.5;232.5;3405922.50999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384922;Sep
2024-09-16;Sabor Tropical Supermarket #4;Invoice;008-03772;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;1.0;46.5;46.5;3405969.00999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384923;Sep
2024-09-18;Ideal Food Basket Pompano;Invoice;008-03780;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3409600.37999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384951;Sep
2024-09-18;Ideal Food Basket Pompano;Invoice;008-03780;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3409660.07999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384952;Sep
2024-09-18;Ideal Food Basket Pompano;Invoice;008-03780;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;15.0;46.5;697.5;3410357.57999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384953;Sep
2024-09-18;Ideal Food Basket Pompano;Invoice;008-03780;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;2.0;46.5;93.0;3410450.57999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384954;Sep
2024-09-18;Ideal Food Basket Pompano;Invoice;008-03780;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3410467.57999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384955;Sep
2024-09-18;BRAVO Pompano Beach;Invoice;008-03781;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3410501.57999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384956;Sep
2024-09-18;BRAVO Pompano Beach;Invoice;008-03781;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3410561.27999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384957;Sep
2024-09-18;BRAVO Pompano Beach;Invoice;008-03781;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3410578.27999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384958;Sep
2024-09-18;Aries Supermarket & Cafeteria;Invoice;008-03782;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3410637.97999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384959;Sep
2024-09-18;Aries Supermarket & Cafeteria;Invoice;008-03782;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3410671.97999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384960;Sep
2024-09-18;Aries Supermarket & Cafeteria;Invoice;008-03782;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;5.0;46.5;232.5;3410904.47999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384961;Sep
2024-09-18;Aries Supermarket & Cafeteria;Invoice;008-03782;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;1.0;46.5;46.5;3410950.97999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384962;Sep
2024-09-18;Aries Supermarket & Cafeteria;Invoice;008-03782;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3410967.97999998;Branded Rice;Keila Alfaro-Visvikis;CAFETERIA y RESTAURANTS;1384963;Sep
2024-09-18;Sedanos Supermarkets #27;Invoice;008-03784;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3411435.87999998;Puffed Products;Keila Alfaro-Visvikis;RETAIL SEDANOS;1384966;Sep
2024-09-18;Key Food Coconut;Invoice;008-03786;Arroz Envasado:Organico LF Dos Hermanos;.;1.0;24.0;24.0;3411622.19999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384970;Sep
2024-09-18;Key Food Coconut;Invoice;008-03786;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3411656.19999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384971;Sep
2024-09-18;Key Food Coconut;Invoice;008-03786;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3411715.89999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384972;Sep
2024-09-18;Key Food Coconut;Invoice;008-03786;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3411732.89999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1384973;Sep
2024-09-18;Sedanos Supermarkets #28;Invoice;008-03787;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;20.0;40.5;810.0;3412542.89999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384974;Sep
2024-09-18;Sedanos Supermarkets #1;Invoice;008-03788;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;6.0;40.5;243.0;3412551.15999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1384977;Sep
2024-09-19;Sedanos Supermarkets #43;Invoice;008-03790;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3412451.45999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384989;Sep
2024-09-19;Sedanos Supermarkets #43;Invoice;008-03790;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3412491.25999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1384990;Sep
2024-09-19;Sedanos Supermarkets #38;Invoice;008-03800;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;25.0;40.5;1012.5;3415716.70999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1385010;Sep
2024-09-23;Sedanos Supermarkets #33;Invoice;008-03801;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;2.0;40.5;81.0;3415373.37999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1385018;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;1.0;19.9;19.9;3418057.35999999;Puffed Products;Keila Alfaro-Visvikis;RETAIL  DSD;1385031;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3418077.25999999;Puffed Products;Keila Alfaro-Visvikis;RETAIL  DSD;1385032;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3418114.15999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385034;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;1.0;19.9;19.9;3418134.05999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385035;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;1.0;46.5;46.5;3418180.55999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385036;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Arroz Envasado:Aromatic Type Rice Dos Hermanos.;.;1.0;20.0;20.0;3418200.55999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385037;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Arroz Envasado:Organico LF Dos Hermanos;.;1.0;24.0;24.0;3418224.55999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385038;Sep
2024-09-23;Seabra Foods / A&J Supermarkets;Invoice;008-03807;Arroz Envasado:Sushi Rice Dos Hermanos.;.;1.0;20.0;20.0;3418244.55999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385039;Sep
2024-09-24;Ideal Food Basket Deerfield;Invoice;008-03808;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3418310.50999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385044;Sep
2024-09-24;Ideal Food Basket Deerfield;Invoice;008-03808;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3418370.20999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385045;Sep
2024-09-24;Ideal Food Basket Deerfield;Invoice;008-03808;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;1.0;46.5;46.5;3418416.70999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385046;Sep
2024-09-24;Ideal Food Basket Deerfield;Invoice;008-03808;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;1.0;19.9;19.9;3418436.60999998;Puffed Products;Keila Alfaro-Visvikis;RETAIL  DSD;1385047;Sep
2024-09-24;Ideal Food Basket Deerfield;Invoice;008-03808;Rice Snack:Rice Snack Salami Flavored DOS HERMANOS;;1.0;19.9;19.9;3418456.50999998;Puffed Products;Keila Alfaro-Visvikis;RETAIL  DSD;1385048;Sep
2024-09-25;Sedanos Supermarkets #27;Invoice;008-03809;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;3.0;40.5;121.5;3418767.40999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1385051;Sep
2024-09-25;Ideal Food Basket Deerfield;Invoice;008-03812;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3419078.02999998;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385058;Sep
2024-09-26;Sedanos Supermarkets #14;Invoice;008-03814;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;5.0;40.5;202.5;3420096.02999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1385065;Sep
2024-09-26;Sedanos Supermarkets #14;Invoice;008-03814;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;5.0;-11.15;-55.75;3420040.27999998;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1385066;Sep
2024-09-26;Sedanos Supermarkets #7;Invoice;008-03816;Rice Snack:Rice Snack Ham Flavored DOS HERMANOS;;2.0;19.9;39.8;3420274.88999998;Puffed Products;Lisset Limpio -020;RETAIL SEDANOS;1385069;Sep
2024-09-30;Lissete Limpio;Invoice;008-03834;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;1.0;19.0;19.0;3426464.38999999;Branded Rice;Lisset Limpio -020;OTHER;1385114;Sep
2024-09-30;Lissete Limpio;Invoice;008-03834;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3426481.38999999;Branded Rice;Lisset Limpio -020;OTHER;1385115;Sep
2024-09-30;Key Food - Kabfra, LLC;Invoice;008-03837;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3428055.93999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385119;Sep
2024-09-30;Key Food - Kabfra, LLC;Invoice;008-03837;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3428115.63999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385120;Sep
2024-09-30;Key Food - Kabfra, LLC;Invoice;008-03837;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3428160.88999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385122;Sep
2024-10-01;Sabor Tropical Supermarket #5;Invoice;008-03890;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;1.0;46.5;46.5;3428098.88999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385128;Oct
2024-10-01;Sabor Tropical Supermarket #5;Invoice;008-03890;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;2.0;17.0;34.0;3428121.73999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385130;Oct
2024-10-01;Sabor Tropical Supermarket #5;Invoice;008-03890;Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos;;1.0;17.0;17.0;3428138.73999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385131;Oct
2024-10-01;Sabor Tropical Supermarket #5;Invoice;008-03890;Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.;.;3.0;19.9;59.7;3428198.43999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL  DSD;1385132;Oct
2024-10-01;Sedanos Supermarkets #34;Invoice;008-03893;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;3.0;40.5;121.5;3428770.73999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1385136;Oct
2024-10-01;Sedanos Supermarkets #29;Invoice;008-03894;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;25.0;40.5;1012.5;3429747.97999999;Branded Rice;Lisset Limpio -020;RETAIL SEDANOS;1385139;Oct
2024-10-01;Sedanos Supermarkets #27;Invoice;008-03896;Arroz Envasado:Parboiled 5KG Dos Hermanos.;6 / 11lbs;3.0;40.5;121.5;3429926.54999999;Branded Rice;Keila Alfaro-Visvikis;RETAIL SEDANOS;1385145;Oct
