Date,Customer,TipoDocumento,Num,Producto,Descripcion,Qty,SalesPrice,Amount,Balance,Class,SalesRep,TipoCliente,ID,Month
2023-01-03,Sabor Tropical Supermarket #4,Invoice,008-01129,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,55.0,25.0,1375.0,1375.0,,Ruta - 019,RETAIL  DSD,1380101,Jan
2023-01-03,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01130,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,20.0,25.5,510.0,1885.0,,Lisset Limpio -020,Cafeteria,1380102,Jan
2023-01-04,CV of America LLC,Invoice,008-01131,Varios:Organic Rice -NI,Fc DH#135,2.0,2131.0,4262.0,6147.0,,Others - 001,OTHER,1380103,Jan
2023-01-04,Food Fair Plantation Corp,Credit Memo,008-01164,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,-1.0,25.5,-25.5,6121.5,,Ruta - 019,RETAIL  DSD,1380104,Jan
2023-01-09,CV of America LLC,Invoice,008-01132,Varios:Organic Rice -NI,#136,3.0,2131.33,6394.0,12515.5,,Others - 001,OTHER,1380105,Jan
2023-01-10,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01133,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,12770.5,,Lisset Limpio -020,Cafeteria,1380106,Jan
2023-01-10,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01134,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,13025.5,,Lisset Limpio -020,Cafeteria,1380107,Jan
2023-01-10,El Palacio de los jugos /  E & P Foods,Invoice,008-01135,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,15.0,25.5,382.5,13408.0,,Lisset Limpio -020,Cafeteria,1380108,Jan
2023-01-10,BRAVO - Flamingo #3,Invoice,008-01136,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,5.0,38.5,192.5,13600.5,,Ruta - 019,RETAIL  DSD,1380109,Jan
2023-01-10,BRAVO - Flamingo #3,Invoice,008-01136,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,1.0,0.0,0.0,13600.5,,Ruta - 019,RETAIL  DSD,1380110,Jan
2023-01-10,BRAVO - Flamingo #3,Invoice,008-01136,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,16.5,16.5,13617.0,,Ruta - 019,RETAIL  DSD,1380111,Jan
2023-01-10,Albert Deli #2,Invoice,008-01137,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,5.0,28.0,140.0,13757.0,,Ruta - 019,CAFETERIA y RESTAURANTS,1380112,Jan
2023-01-10,Price Choice Food Market # 2,Invoice,008-01138,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,10.0,38.5,385.0,14142.0,,Ruta - 019,RETAIL  DSD,1380113,Jan
2023-01-10,Price Choice Food Market # 2,Invoice,008-01138,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,2.0,0.0,0.0,14142.0,,Ruta - 019,RETAIL  DSD,1380114,Jan
2023-01-10,CV of America LLC,Invoice,008-01139,Varios:Organic Rice -NI,#137,3.0,1776.0,5328.0,19470.0,,Others - 001,OTHER,1380115,Jan
2023-01-10,Rey Chavez Distributor Corp,Invoice,008-01140,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,55.0,25.0,1375.0,20845.0,,Ruta - 019,WHOLESALER,1380116,Jan
2023-01-10,"YummmyCo, Inc",Invoice,008-01141,Arroz a Granel:Totes Parboiled,,1.0,1283.09,1283.09,22128.09,,Armando Carpio - 017,WHOLESALER,1380117,Jan
2023-01-11,"Criollos Food USA, LLC",Invoice,008-01142,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,55.0,26.5,1457.5,23585.59,,Armando Carpio - 017,WHOLESALER,1380118,Jan
2023-01-12,Agrocommerce S.A. C/O Jose Miguel Infante,Invoice,008-01143,Varios:Organic Rice -NI,#139,3.0,1680.0,5040.0,28625.59,,Others - 001,OTHER,1380119,Jan
2023-01-12,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01144,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,1.0,19.65,19.65,28645.24,,Lisset Limpio -020,Cafeteria,1380120,Jan
2023-01-12,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01144,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,28900.24,,Lisset Limpio -020,Cafeteria,1380121,Jan
2023-01-12,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01145,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,1.0,19.65,19.65,28919.89,,Lisset Limpio -020,Cafeteria,1380122,Jan
2023-01-12,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01145,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,7.0,25.5,178.5,29098.39,,Lisset Limpio -020,Cafeteria,1380123,Jan
2023-01-12,El Palacio de los jugos /  E & P Foods,Invoice,008-01146,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,12.0,19.65,235.8,29334.19,,Lisset Limpio -020,Cafeteria,1380124,Jan
2023-01-12,El Palacio de los jugos / Leti Corp.,Invoice,008-01147,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,1.0,19.95,19.95,29354.14,,Lisset Limpio -020,Cafeteria,1380125,Jan
2023-01-12,Albert Food,Invoice,008-01148,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,29609.14,,Lisset Limpio -020,RETAIL  DSD,1380126,Jan
2023-01-12,El Palacio de los jugos / Caribe Tropical,Invoice,008-01149,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,8.0,25.5,204.0,29813.14,,Lisset Limpio -020,Cafeteria,1380127,Jan
2023-01-12,El Palacio de los jugos / Caribe Tropical,Invoice,008-01149,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,1.0,19.65,19.65,29832.79,,Lisset Limpio -020,Cafeteria,1380128,Jan
2023-01-12,El Palacio de los jugos / J Mena Corp.,Invoice,008-01150,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.75,98.75,29931.54,,Lisset Limpio -020,Cafeteria,1380129,Jan
2023-01-12,Agrocommerce S.A. C/O Jose Miguel Infante,Invoice,008-01151,Varios:Organic Rice -NI,#138,3.0,1680.0,5040.0,34971.54,,Others - 001,OTHER,1380130,Jan
2023-01-16,"Sun Shine Spice, Corp.",Invoice,008-01152,Arroz a Granel:Totes Parboiled,,2.0,1234.68,2469.36,37440.9,,Ruta - 019,RETAIL  DSD,1380131,Jan
2023-01-16,COD Suplies,Invoice,008-01153,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,55.0,25.5,1402.5,38843.4,,Ruta - 019,WHOLESALER,1380132,Jan
2023-01-16,Bake Mark USA LLC,Invoice,008-01154,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,1100.0,20.5,22550.0,61393.4,,Armando Carpio - 017,WHOLESALER MANUFACTURY,1380133,Jan
2023-01-17,Florencia Tinoco-Lora Good Rice Comercial,Invoice,008-01155,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,1.0,0.0,0.0,61393.4,,Ruta - 019,OTHER,1380134,Jan
2023-01-17,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01156,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,61648.4,,Lisset Limpio -020,Cafeteria,1380135,Jan
2023-01-17,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01156,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,1.0,19.65,19.65,61668.05,,Lisset Limpio -020,Cafeteria,1380136,Jan
2023-01-17,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01157,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,15.0,25.5,382.5,62050.55,,Lisset Limpio -020,Cafeteria,1380137,Jan
2023-01-17,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01157,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,12.0,19.65,235.8,62286.35,,Lisset Limpio -020,Cafeteria,1380138,Jan
2023-01-17,El Palacio de los jugos /  E & P Foods,Invoice,008-01158,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.65,98.25,62384.6,,Lisset Limpio -020,Cafeteria,1380139,Jan
2023-01-17,El Palacio de los jugos /  E & P Foods,Invoice,008-01158,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,15.0,25.5,382.5,62767.1,,Lisset Limpio -020,Cafeteria,1380140,Jan
2023-01-17,El Palacio de los jugos / Leti Corp.,Invoice,008-01159,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,7.0,19.95,139.65,62906.75,,Lisset Limpio -020,Cafeteria,1380141,Jan
2023-01-17,Bravo Supermarket 5011,Invoice,008-01160,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,27.0,270.0,63176.75,,Ruta - 019,RETAIL BRAVO,1380142,Jan
2023-01-17,Key Food / Holywood,Invoice,008-01161,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,10.0,38.5,385.0,63561.75,,Ruta - 019,RETAIL  DSD,1380143,Jan
2023-01-17,Key Food / Holywood,Invoice,008-01161,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,2.0,0.0,0.0,63561.75,,Ruta - 019,RETAIL  DSD,1380144,Jan
2023-01-17,Key Food / Holywood,Invoice,008-01161,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,5.0,16.5,82.5,63644.25,,Ruta - 019,RETAIL  DSD,1380145,Jan
2023-01-17,Key Food / Holywood,Invoice,008-01161,Arroz Envasado:Sushi Rice Dos Hermanos 5kg.,,6.0,10.0,60.0,63704.25,,Ruta - 019,RETAIL  DSD,1380146,Jan
2023-01-17,Key Food / Holywood,Invoice,008-01161,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,0.0,0.0,63704.25,,Ruta - 019,RETAIL  DSD,1380147,Jan
2023-01-17,Agrocommerce S.A. C/O Jose Miguel Infante,Invoice,008-01162,Varios:Organic Rice -NI,#140,3.0,1680.0,5040.0,68744.25,,Others - 001,OTHER,1380148,Jan
2023-01-18,Lissete Limpio,Invoice,008-01163,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,0.0,0.0,68744.25,,Lisset Limpio -020,OTHER,1380149,Jan
2023-01-19,Bravo Supermarket 5011,Credit Memo,008-01172,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,Rotura de bolsa (S/invoice#1160),-1.0,27.0,-27.0,68717.25,,Ruta - 019,RETAIL BRAVO,1380150,Jan
2023-01-23,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01165,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,68972.25,,Lisset Limpio -020,Cafeteria,1380151,Jan
2023-01-23,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01166,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,22.0,25.5,561.0,69533.25,,Lisset Limpio -020,Cafeteria,1380152,Jan
2023-01-23,El Palacio de los jugos /  E & P Foods,Invoice,008-01167,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.65,98.25,69631.5,,Lisset Limpio -020,Cafeteria,1380153,Jan
2023-01-23,El Palacio de los jugos /  E & P Foods,Invoice,008-01167,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,69886.5,,Lisset Limpio -020,Cafeteria,1380154,Jan
2023-01-23,El Palacio de los jugos / J Mena Corp.,Invoice,008-01168,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.75,98.75,69985.25,,Lisset Limpio -020,Cafeteria,1380155,Jan
2023-01-23,El Palacio de los jugos / J Mena Corp.,Invoice,008-01168,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,5.0,25.5,127.5,70112.75,,Lisset Limpio -020,Cafeteria,1380156,Jan
2023-01-23,El Palacio de los jugos / Delicias Criollas (DIAGO FOOD_MILLER),Invoice,008-01169,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.75,98.75,70211.5,,Lisset Limpio -020,Cafeteria,1380157,Jan
2023-01-23,El Palacio de los jugos / Delicias Criollas (DIAGO FOOD_MILLER),Invoice,008-01169,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,70466.5,,Lisset Limpio -020,Cafeteria,1380158,Jan
2023-01-23,"Meat Club Market, LLC.",Invoice,008-01170,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,10.0,16.75,167.5,70634.0,,Lisset Limpio -020,RETAIL  DSD,1380159,Jan
2023-01-23,"Meat Club Market, LLC.",Invoice,008-01170,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,0.0,0.0,70634.0,,Lisset Limpio -020,RETAIL  DSD,1380160,Jan
2023-01-23,"Meat Club Market, LLC.",Invoice,008-01170,Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.,I8(43)JUN/ H27/H28/ H29(118) /H30,10.0,19.75,197.5,70831.5,,Lisset Limpio -020,RETAIL  DSD,1380161,Jan
2023-01-23,"Meat Club Market, LLC.",Invoice,008-01170,Arroz Envasado:Parboiled 1kg Bolsa Dos Hermanos.,I8(43)JUN/ H27/H28/ H29(118) /H30,1.0,0.0,0.0,70831.5,,Lisset Limpio -020,RETAIL  DSD,1380162,Jan
2023-01-23,Bake Mark USA LLC,Invoice,008-01171,Arroz a Granel (MWH):Arroz Parboil Bolsa 50LB Dos hermanos (Alpha),,0.0,,0.0,70831.5,,Armando Carpio - 017,WHOLESALER MANUFACTURY,1380163,Jan
2023-01-26,Brito Family Corp.,Invoice,008-01173,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,110.0,22.5,2475.0,73306.5,,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1380164,Jan
2023-01-26,Rey Chavez Distributor #2,Invoice,008-01174,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,20.0,33.0,660.0,73966.5,,Ruta - 019,WHOLESALER,1380165,Jan
2023-01-26,Rey Chavez Distributor #2,Invoice,008-01174,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,20.0,25.0,500.0,74466.5,,Ruta - 019,WHOLESALER,1380166,Jan
2023-01-26,Rey Chavez Distributor Corp,Invoice,008-01175,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,41.0,33.0,1353.0,75819.5,,Ruta - 019,WHOLESALER,1380167,Jan
2023-01-26,Rey Chavez Distributor Corp,Credit Memo,008-01176,"Rice Snack:Rice Snack, Sour Cream & Onion DOS HERMANOS",H8,-7.0,1.35,-9.45,75810.05,,Ruta - 019,WHOLESALER,1380168,Jan
2023-01-26,Rey Chavez Distributor Corp,Credit Memo,008-01176,"Rice Snack:Rice Snack, Pizza DH",,-3.0,1.35,-4.05,75806.0,,Ruta - 019,WHOLESALER,1380169,Jan
2023-01-26,Rey Chavez Distributor Corp,Credit Memo,008-01176,Rice Snack:Rice Snack Salami Flavored DOS HERMANOS,,-19.0,1.35,-25.65,75780.35,,Ruta - 019,WHOLESALER,1380170,Jan
2023-01-26,Rey Chavez Distributor Corp,Credit Memo,008-01176,Rice Snack:Rice Snack Ham Flavored DOS HERMANOS,,-6.0,1.35,-8.1,75772.25,,Ruta - 019,WHOLESALER,1380171,Jan
2023-01-27,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01178,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,76027.25,,Lisset Limpio -020,Cafeteria,1380172,Jan
2023-01-27,El Palacio de los jugos / Delicias Criollas (DIAGO FOOD_MILLER),Invoice,008-01179,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,76282.25,,Lisset Limpio -020,Cafeteria,1380173,Jan
2023-01-27,El Palacio de los jugos / Leti Corp.,Invoice,008-01180,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,7.0,19.95,139.65,76421.9,,Lisset Limpio -020,Cafeteria,1380174,Jan
2023-01-27,El Palacio de los jugos / Caribe Tropical,Invoice,008-01181,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,76676.9,,Lisset Limpio -020,Cafeteria,1380175,Jan
2023-01-30,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01182,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,76931.9,,Lisset Limpio -020,Cafeteria,1380176,Jan
2023-01-30,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01183,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,16.0,25.5,408.0,77339.9,,Lisset Limpio -020,Cafeteria,1380177,Jan
2023-01-30,El Palacio de los jugos /  E & P Foods,Invoice,008-01184,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,10.0,19.65,196.5,77536.4,,Lisset Limpio -020,Cafeteria,1380178,Jan
2023-01-30,El Palacio de los jugos /  E & P Foods,Invoice,008-01184,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,15.0,25.5,382.5,77918.9,,Lisset Limpio -020,Cafeteria,1380179,Jan
2023-01-30,El Palacio de los jugos / J Mena Corp.,Invoice,008-01185,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,78173.9,,Lisset Limpio -020,Cafeteria,1380180,Jan
2023-01-30,El Palacio de los jugos / J Mena Corp.,Invoice,008-01185,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.75,98.75,78272.65,,Lisset Limpio -020,Cafeteria,1380181,Jan
2023-01-31,"Red Diamond Food Services, LLC",Invoice,008-01186,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.99,99.95,78372.6,,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1380182,Jan
2023-01-31,Broward Meat and Fish,Invoice,008-01187,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,55.0,25.5,1402.5,79775.1,,Ruta - 019,RETAIL  DSD,1380183,Jan
2023-01-31,Food Fair Miramar,Invoice,008-01188,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,55.0,25.5,1402.5,81177.6,,Ruta - 019,RETAIL KEY FOOD,1380184,Jan
2023-01-31,Key Food - JRA 1621 Lauderhill,Invoice,008-01189,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,5.0,38.5,192.5,81370.1,,Ruta - 019,RETAIL  DSD,1380185,Jan
2023-01-31,Key Food - JRA 1621 Lauderhill,Invoice,008-01189,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,1.0,0.0,0.0,81370.1,,Ruta - 019,RETAIL  DSD,1380186,Jan
2023-01-31,Key Food  Lake Worth JR 1337,Invoice,008-01190,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,5.0,28.0,140.0,81510.1,,Ruta - 019,RETAIL KEY FOOD,1380187,Jan
2023-01-31,Key Food Lake Worth,Invoice,008-01191,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,5.0,28.0,140.0,81650.1,,Ruta - 019,RETAIL KEY FOOD,1380188,Jan
2023-01-31,Key Food / Holywood,Invoice,008-01192,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,5.0,38.5,192.5,81842.6,,Ruta - 019,RETAIL  DSD,1380189,Jan
2023-01-31,Key Food / Holywood,Invoice,008-01192,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6 / 11lbs,1.0,0.0,0.0,81842.6,,Ruta - 019,RETAIL  DSD,1380190,Jan
2023-01-31,Key Food / Holywood,Invoice,008-01192,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,10.0,16.5,165.0,82007.6,,Ruta - 019,RETAIL  DSD,1380191,Jan
2023-01-31,Key Food / Holywood,Invoice,008-01192,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,2.0,0.0,0.0,82007.6,,Ruta - 019,RETAIL  DSD,1380192,Jan
2023-01-31,El Palacio de los jugos /  Mires Restaurants,Invoice,008-01193,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,82262.6,,Lisset Limpio -020,Cafeteria,1380193,Jan
2023-01-31,El Palacio de los jugos /  Mires Restaurants,Invoice,008-01193,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,10.0,19.85,198.5,82461.1,,Lisset Limpio -020,Cafeteria,1380194,Jan
2023-01-31,Key Food / Holywood,Credit Memo,008-01208,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,-3.0,16.5,-49.5,82411.6,,Ruta - 019,RETAIL  DSD,1380195,Jan
2023-02-01,CV of America LLC,Invoice,008-01194,Varios:Organic Rice -NI,Fc DH#143,2.0,2448.0,4896.0,87307.6,,Others - 001,OTHER,1380196,Feb
2023-02-02,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01195,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,87562.6,,Lisset Limpio -020,Cafeteria,1380197,Feb
2023-02-02,El Palacio de los jugos /  E & P Foods,Invoice,008-01196,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.65,98.25,87660.85,,Lisset Limpio -020,Cafeteria,1380198,Feb
2023-02-02,El Palacio de los jugos /  E & P Foods,Invoice,008-01196,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,87915.85,,Lisset Limpio -020,Cafeteria,1380199,Feb
2023-02-02,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01197,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.65,98.25,88014.1,,Lisset Limpio -020,Cafeteria,1380200,Feb
2023-02-02,El Palacio de los jugos / Caribe Tropical,Invoice,008-01198,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,6.0,19.85,119.1,88133.2,,Lisset Limpio -020,Cafeteria,1380201,Feb
2023-02-02,El Palacio de los jugos / Caribe Tropical,Invoice,008-01198,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,88388.2,,Lisset Limpio -020,Cafeteria,1380202,Feb
2023-02-02,El Palacio de los jugos /  EMMA FOOD CORP,Invoice,008-01199,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,6.0,19.85,119.1,88507.3,,Lisset Limpio -020,Cafeteria,1380203,Feb
2023-02-02,El Palacio de los jugos /  EMMA FOOD CORP,Invoice,008-01199,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,8.0,25.5,204.0,88711.3,,Lisset Limpio -020,Cafeteria,1380204,Feb
2023-02-02,El Palacio de los jugos / Delicias Criollas (DIAGO FOOD_MILLER),Invoice,008-01200,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,12.0,25.5,306.0,89017.3,,Lisset Limpio -020,Cafeteria,1380205,Feb
2023-02-05,El Palacio de los jugos / Lita Foods Inc.,Invoice,008-01201,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,8.0,25.5,204.0,89221.3,,Lisset Limpio -020,Cafeteria,1380206,Feb
2023-02-05,El Palacio de los jugos / Caribe Tropical,Invoice,008-01202,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,8.0,25.5,204.0,89425.3,,Lisset Limpio -020,Cafeteria,1380207,Feb
2023-02-05,El Palacio de los jugos / Caribe Tropical,Invoice,008-01202,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,6.0,19.85,119.1,89544.4,,Lisset Limpio -020,Cafeteria,1380208,Feb
2023-02-05,El Palacio de los jugos /  EMMA FOOD CORP,Invoice,008-01203,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,6.0,19.85,119.1,89663.5,,Lisset Limpio -020,Cafeteria,1380209,Feb
2023-02-05,El Palacio de los jugos /  EMMA FOOD CORP,Invoice,008-01203,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,6.0,25.5,153.0,89816.5,,Lisset Limpio -020,Cafeteria,1380210,Feb
2023-02-05,Brito Family Corp.,Invoice,008-01204,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,110.0,22.5,2475.0,92291.5,,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1380211,Feb
2023-02-05,El Palacio de los jugos / J Mena Corp.,Invoice,008-01205,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,92546.5,,Lisset Limpio -020,Cafeteria,1380212,Feb
2023-02-05,El Palacio de los jugos / J Mena Corp.,Invoice,008-01205,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.75,98.75,92645.25,,Lisset Limpio -020,Cafeteria,1380213,Feb
2023-02-05,El Palacio de los jugos /  Mires Restaurants,Invoice,008-01206,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,10.0,25.5,255.0,92900.25,,Lisset Limpio -020,Cafeteria,1380214,Feb
2023-02-05,El Palacio de Los Jugos / Casa mía Food Restaurant inc,Invoice,008-01207,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,16.0,25.5,408.0,93308.25,,Lisset Limpio -020,Cafeteria,1380215,Feb
2023-02-07,El Palacio de los jugos /  E & P Foods,Invoice,008-01209,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,10.0,19.65,196.5,93504.75,,Lisset Limpio -020,Cafeteria,1380216,Feb
2023-02-07,El Palacio de los jugos /  E & P Foods,Invoice,008-01209,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,15.0,25.5,382.5,93887.25,,Lisset Limpio -020,Cafeteria,1380217,Feb
2023-02-07,"Red Diamond Food Services, LLC",Invoice,008-01210,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,5.0,19.99,99.95,93987.2,,Lisset Limpio -020,CAFETERIA y RESTAURANTS,1380218,Feb
2023-02-07,CV of America LLC,Invoice,008-01211,Varios:Organic Rice -NI,Fc DH#144,144.0,34.0,4896.0,98883.2,,Others - 001,OTHER,1380219,Feb
2023-02-07,"Garman Distributor,LLC",Invoice,008-01212,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,165.0,22.5,3712.5,102595.7,,Armando Carpio - 017,WHOLESALER,1380220,Feb
2023-02-07,Albert Deli #2,Invoice,008-01213,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,3.0,23.0,69.0,102664.7,,Ruta - 019,CAFETERIA y RESTAURANTS,1380221,Feb
